Company,City,State,Industry,
Securian Financial, Saint Paul, MN, Insurance ,
Selective Insurance Group , Branchville, NJ, Insurance ,
Sentry Insurance, Stevens Point, WI, Insurance ,
Stancorp Financial , Portland, OR, Insurance ,
State Farm Insurance, Bloomington, IL, Insurance ,
Stewart Information Services , Houston, TX, Insurance ,
Symetra Financial , Bellevue, WA, Insurance ,
Torchmark , Mckinney, TX, Insurance ,
Travelers Companies , New York, NY, Insurance ,
UnitedHealth Group, Minnetonka, MN, Insurance ,
Universal American , White Plains, NY, Insurance ,
UNUM Group, Chattanooga, TN, Insurance ,
W. R. Berkley , Greenwich, CT, Insurance ,
Western & Southern Financial , Cincinnati, OH, Insurance ,
Aol, New York, NY, Internet Businesses,
Facebook, Menlo Park, CA, Internet Businesses,
Google , Mountain View, CA, Internet Businesses,
IAC/InterActiveCorp, New York, NY, Internet Businesses,
Netflix , Los Gatos, CA, Internet Businesses,
Booz Allen Hamilton , Mc Lean, VA, Management Consulting,
Diebold, North Canton, OH, Management Consulting,
IMS Health , Danbury, CT, Management Consulting,
Insperity, Kingwood, TX, Management Consulting,
Leidos , Reston, VA, Management Consulting,
Tetra Tech , Pasadena, CA, Management Consulting,
Towers Watson & Co., Arlington, VA, Management Consulting,
Allison Transmission , Indianapolis, IN, Manufacturing, Automobiles
American Axle & Manufacturing , Detroit, MI, Manufacturing, Automobiles
Autoliv , Auburn Hills, MI, Manufacturing, Automobiles
Borg Warner Automotive, Auburn Hills, MI, Manufacturing, Automobiles
BorgWarner , Auburn Hills, MI, Manufacturing, Automobiles
Brunswick , Lake Forest, IL, Manufacturing, Automobiles
Carlisle Companies , Charlotte, NC, Manufacturing, Automobiles
Cooper Tire & Rubber , Findlay, OH, Manufacturing, Automobiles
Dana Holding, Maumee, OH, Manufacturing, Automobiles
Ford Motor , Dearborn, MI, Manufacturing, Automobiles
General Motors , Detroit, MI, Manufacturing, Automobiles
Harley-Davidson , Milwaukee, WI, Manufacturing, Automobiles
Lear , Southfield, MI, Manufacturing, Automobiles
Meritor , Troy, MI, Manufacturing, Automobiles
Navistar International , Lisle, IL, Manufacturing, Automobiles
PACCAR , Bellevue, WA, Manufacturing, Automobiles
Polaris Industries, Medina, MN, Manufacturing, Automobiles
Tenneco , Lake Forest, IL, Manufacturing, Automobiles
Tesla Motors , Palo Alto, CA, Manufacturing, Automobiles
Thor Industries , Elkhart, IN, Manufacturing, Automobiles
TRW Automotive , Livonia, MI, Manufacturing, Automobiles
Visteon , Van Buren Twp, MI, Manufacturing, Automobiles
WABCO Holdings., Piscataway, NJ, Manufacturing, Automobiles
Air Products and Chemicals , Allentown, PA, Manufacturing, Chemicals 
Airgas Inc, Radnor, PA, Manufacturing, Chemicals 
Albemarle , Baton Rouge, LA, Manufacturing, Chemicals 
Ashland, Covington, KY, Manufacturing, Chemicals 
Axiall , Atlanta, GA, Manufacturing, Chemicals 
Cabot , Boston, MA, Manufacturing, Chemicals 
Celanese , Irving, TX, Manufacturing, Chemicals 
Chemtura , Philadelphia, PA, Manufacturing, Chemicals 
Continental Resources , Oklahoma City, OK, Manufacturing, Chemicals 
Cytec Industries , Woodland Park, NJ, Manufacturing, Chemicals 
Dow Chemical , Midland, MI, Manufacturing, Chemicals 
DuPont, Wilmington, DE, Manufacturing, Chemicals 
Eastman Chemical , Kingsport, TN, Manufacturing, Chemicals 
Ecolab , Saint Paul, MN, Manufacturing, Chemicals 
FMC Corporation, Philadelphia, PA, Manufacturing, Chemicals 
Green Plains , Omaha, NE, Manufacturing, Chemicals 
H.B. Fuller , Saint Paul, MN, Manufacturing, Chemicals 
Huntsman International, Salt Lake City, UT, Manufacturing, Chemicals 
International Flavors & Fragrances , New York, NY, Manufacturing, Chemicals 
Momentive Specialty Chemicals , Waterford, NY, Manufacturing, Chemicals 
Mosaic , Minneapolis, MN, Manufacturing, Chemicals 
NewMarket , Richmond, VA, Manufacturing, Chemicals 
Nexeo Solutions , Spring, TX, Manufacturing, Chemicals 
NuStar Energy , San Antonio, TX, Manufacturing, Chemicals 
Occidental Petroleum , Houston, TX, Manufacturing, Chemicals 
Oil States International , Arlington, TX, Manufacturing, Chemicals 
Olin , Saint Louis, MO, Manufacturing, Chemicals 
PPG Industries , Pittsburgh, PA, Manufacturing, Chemicals 
Praxair , Danbury, CT, Manufacturing, Chemicals 
Rockwood Holdings , Princeton, NJ, Manufacturing, Chemicals 
Sigma-Aldrich, Saint Louis, MO, Manufacturing, Chemicals 
Sunoco, Corpus Christi, TX, Manufacturing, Chemicals 
Tesoro , San Antonio, TX, Manufacturing, Chemicals 
Valero Energy , San Antonio, TX, Manufacturing, Chemicals 
Valspar , Minneapolis, MN, Manufacturing, Chemicals 
Westlake Chemical , Houston, TX, Manufacturing, Chemicals 
Williams Companies , Tulsa, OK, Manufacturing, Chemicals 
HNI Corporation, Muscatine, IA, Manufacturing,
Aeropostale, Lyndhurst, NJ, Manufacturing,
AK Steel , West Chester, OH, Manufacturing,
Alcoa, New York, NY, Manufacturing,
Aleris International , Beachwood, OH, Manufacturing,
Altria Group , Richmond, VA, Manufacturing,
AptarGroup , Crystal Lake, IL, Manufacturing,
Armstrong World Industries , Lancaster, PA, Manufacturing,
Avery Dennison , Glendale, CA, Manufacturing,
Babcock & Wilcox , Charlotte, NC, Manufacturing,
Ball Corporation, Broomfield, CO, Manufacturing,
Beacon Roofing Supply, Herndon, VA, Manufacturing,
Bemis Company , Neenah, WI, Manufacturing,
Berry Plastics , Evansville, IN, Manufacturing,
Boise Cascade , Boise, ID, Manufacturing,
Carpenter Technology , Reading, PA, Manufacturing,
Carter's, Atlanta, GA, Manufacturing,
Caterpillar , Peoria, IL, Manufacturing,
Church & Dwight Co. , Trenton, NJ, Manufacturing,
Colfax , Fulton, MD, Manufacturing,
Commercial Metals , Irving, TX, Manufacturing,
Cooper-Standard , Novi, MI, Manufacturing,
Corning , Corning, NY, Manufacturing,
Crane, Stamford, CT, Manufacturing,
Crane ChemPharma & Energy, Cullman, AL, Manufacturing,
Cummins, Columbus, IN, Manufacturing,
Danaher , Washington, DC, Manufacturing,
Domtar , Montreal, QC, Manufacturing,
Donaldson Company , Minneapolis, MN, Manufacturing,
Dover Corporation, Downers Grove, IL, Manufacturing,
Dresser-Rand, Houston, TX, Manufacturing,
Emerson Electric , Saint Louis, MO, Manufacturing,
Energizer , Saint Louis, MO, Manufacturing,
EnerSys, Reading, PA, Manufacturing,
Exide Technologies, Milton, GA, Manufacturing,
Exterran , Houston, TX, Manufacturing,
Flowserve , Irving, TX, Manufacturing,
General Electric , Fairfield, CT, Manufacturing,
Goodyear Tire & Rubber , Akron, OH, Manufacturing,
Graphic Packaging , Atlanta, GA, Manufacturing,
Greif , Delaware, OH, Manufacturing,
Hanesbrands , Winston Salem, NC, Manufacturing,
Harsco Corporation, Camp Hill, PA, Manufacturing,
Hasbro Inc., Pawtucket, RI, Manufacturing,
Hubbell , Shelton, CT, Manufacturing,
IDEX, Lake Forest, IL, Manufacturing,
Illinois Tool Works , Glenview, IL, Manufacturing,
International Paper , Memphis, TN, Manufacturing,
Jarden , Boca Raton, FL, Manufacturing,
John Deere , Moline, IL, Manufacturing,
Joy Global , Milwaukee, WI, Manufacturing,
Kennametal , Latrobe, PA, Manufacturing,
Kimberly-Clark , Irving, TX, Manufacturing,
Leggett & Platt , Carthage, MO, Manufacturing,
Levi Strauss and Co., San Francisco, CA, Manufacturing,
Lincoln Electric , Cleveland, OH, Manufacturing,
Lorillard Licensing , Greensboro, NC, Manufacturing,
Louisiana-Pacific , Nashville, TN, Manufacturing,
Manitowoc Company , Manitowoc, WI, Manufacturing,
Martin Marietta Materials , Raleigh, NC, Manufacturing,
Masco Corporation , Taylor, MI, Manufacturing,
Mettler-Toledo , Columbus, OH, Manufacturing,
Mohawk Industries , Calhoun, GA, Manufacturing,
Mueller Industries , Memphis, TN, Manufacturing,
National Oilwell Varco , Houston, TX, Manufacturing,
Newell Rubbermaid , Atlanta, GA, Manufacturing,
Nike , Beaverton,OR, Manufacturing,
Nortek Holdings , Providence, RI, Manufacturing,
Nucor , Charlotte, NC, Manufacturing,
O-I - Owens Illinois, Perrysburg, OH, Manufacturing,
Oshkosh , Oshkosh, WI, Manufacturing,
Owens Corning, Toledo, OH, Manufacturing,
Packaging Corporation of America, Lake Forest, IL, Manufacturing,
Pall Corporation, Port Washington, NY, Manufacturing,
Parker Hannifin , Cleveland, OH, Manufacturing,
Phillip Morris , New York, NY, Manufacturing,
Pitney Bowes , Stamford, CT, Manufacturing,
Plexus Corp., Neenah, WI, Manufacturing,
PolyOne , Avon Lake, OH, Manufacturing,
Precision Castparts, Portland, OR, Manufacturing,
R.J. Reynolds Tobacco, Winston Salem, NC, Manufacturing,
Regal Beloit , Beloit, WI, Manufacturing,
Reliance Steel and Aluminum, Los Angeles, CA, Manufacturing,
Resolute Forest Products, Montreal , QC, Manufacturing,
Rockwell Automation , Milwaukee, WI, Manufacturing,
Roper Industries , Sarasota, FL, Manufacturing,
RPM International , Medina, OH, Manufacturing,
Scotts Miracle-Gro , Marysville, OH, Manufacturing,
Sealed Air , Charlotte, NC, Manufacturing,
Silgan, Union, MO, Manufacturing,
Snap-on , Kenosha, WI, Manufacturing,
Sonoco Products , Hartsville, SC, Manufacturing,
SPX Corporation, Charlotte, NC, Manufacturing,
Steel Dynamics , Fort Wayne, IN, Manufacturing,
Steelcase , Grand Rapids, MI, Manufacturing,
Superior Energy Services, Houston, TX, Manufacturing,
TempurPedic Sealy International , Lexington, KY, Manufacturing,
Terex , Westport, CT, Manufacturing,
Timken , North Canton, OH, Manufacturing,
Toro Company, Minneapolis, MN, Manufacturing,
Tower International, Livonia, MI, Manufacturing,
Trinity Industries , Dallas, TX, Manufacturing,
Tupperware , Orlando, FL, Manufacturing,
Under Armour , Baltimore, MD, Manufacturing,
United States Steel , Pittsburgh, PA, Manufacturing,
Universal , Richmond, VA, Manufacturing,
Universal Forest Products, Grand Rapids, MI, Manufacturing,
Wabtec , Wilmerding, PA, Manufacturing,
WestRock, Richmond, VA, Manufacturing,
Weyerhaeuser , Federal Way, WA, Manufacturing,
Whirlpool , Benton Harbor, MI, Manufacturing,
Wolverine World Wide , Rockford, MI, Manufacturing,
Worthington Industries, Columbus, OH, Manufacturing,
Xylem , Rye Brook, NY, Manufacturing,
Hyster-Yale Materials Handling, Cleveland, OH, Manufacturing ,
Stanley Black & Decker , New Britain, CT, Manufacturing ,
Cablevision Systems , Bethpage, NY, Media & Entertainment,
CBS , New York, NY, Media & Entertainment,
Cinemark Holdings, Plano, TX, Media & Entertainment,
Comcast Spotlight, Bloomfield, CT, Media & Entertainment,
Discovery Communications , Silver Spring, MD, Media & Entertainment,
DISH Network , Englewood, CO, Media & Entertainment,
Gannett Co. , Mc Lean, VA, Media & Entertainment,
iHeartMedia , San Antonio, TX, Media & Entertainment,
Liberty Media , Englewood, CO, Media & Entertainment,
Live Nation , Beverly Hills, CA, Media & Entertainment,
Quad/Graphics , Sussex, WI, Media & Entertainment,
R.R. Donnelley & Sons, Chicago, IL, Media & Entertainment,
Regal Entertainment , Knoxville, TN, Media & Entertainment,
Scripps Networks Interactive, Knoxville, TN, Media & Entertainment,
Time Warner , New York, NY, Media & Entertainment,
Tribune Company, Chicago, IL, Media & Entertainment,
Univision , New York, NY, Media & Entertainment,
Viacom , New York, NY, Media & Entertainment,
Walt Disney , Burbank, CA, Media & Entertainment,
Warner Music Group, New York, NY, Media & Entertainment,
Yahoo, Sunnyvale, CA, Media & Entertainment,
Knights of Columbus, New Haven, CT, Non-Profit,
AECOM Technology , Los Angeles, CA, Real Estate , Construction 
D.R. Horton , Fort Worth, TX, Real Estate , Construction 
Jacobs Engineering, Pasadena, CA, Real Estate , Construction 
Kiewit , Omaha, NE, Real Estate , Construction 
NVR , Reston, VA, Real Estate , Construction 
Ryland Group , Westlake Village, CA, Real Estate , Construction 
Taylor Morrison Home , Scottsdale, AZ, Real Estate , Construction 
Tutor Perini , Sylmar, CA, Real Estate , Construction 
Willbros Group, Houston, TX, Real Estate , Construction 
Bluelinx , Atlanta, GA, Real Estate , Construction 
EMCOR Group, Norwalk, CT, Real Estate , Construction 
Primoris Services , Dallas, TX, Real Estate , Construction 
Titan Machinery , West Fargo, ND, Real Estate , Construction 
United Rentals , Stamford, CT, Real Estate , Construction 
USG Corporation, Chicago, IL, Real Estate , Construction 
Boston Properties , Boston, MA, Real Estate ,
CBRE Group , Los Angeles, CA, Real Estate ,
Equity Residential, Chicago, IL, Real Estate ,
General Growth Properties, Chicago, IL, Real Estate ,
HCP , Irvine, CA, Real Estate ,
Jones Lang LaSalle JLL, Chicago, IL, Real Estate ,
KB Home, Los Angeles, CA, Real Estate ,
Lennar , Miami, FL, Real Estate ,
PULTEGROUP , Bloomfield Hills, MI, Real Estate ,
Simon Property Group Inc., Indianapolis, IN, Real Estate ,
Toll Brothers , Horsham, PA, Real Estate ,
Ventas , Chicago, IL, Real Estate ,
Vornado Realty , New York, NY, Real Estate ,
Aaron's, Atlanta, GA, Retail,
Abercrombie & Fitch Co., New Albany, OH, Retail,
Acuity Brands , Atlanta, GA, Retail,
Advance Auto Parts , Roanoke, VA, Retail,
Aeropostale , New York, NY, Retail,
American Eagle Outfitters, Pittsburgh, PA, Retail,
Andersons , Maumee, OH, Retail,
Ann Inc., New York, NY, Retail,
Asbury Automotive Group, Duluth, GA, Retail,
Ascena Retail Group, Mahwah, NJ, Retail,
AutoNation, Fort Lauderdale, FL, Retail,
AutoZone, Memphis, TN, Retail,
Barnes & Noble , New York, NY, Retail,
Bed Bath and Beyond, Union, NJ, Retail,
Belk , Charlotte, NC, Retail,
Big Lots , Columbus, OH, Retail,
Bloomin' Brands , Tampa, FL, Retail,
Bon-Ton Stores , York, PA, Retail,
Brinker International , Dallas, TX, Retail,
Burlington Stores , Burlington, NJ, Retail,
Cabela's, Sidney, NE, Retail,
Caleres , Saint Louis, MO, Retail,
CarMax , Henrico, VA, Retail,
Casey's General Stores , Ankeny, IA, Retail,
Chico's FAS , Fort Myers, FL, Retail,
Chipotle Mexican Grill , Denver, CO, Retail,
Coach , New York, NY, Retail,
Costco Wholesale , Issaquah, WA, Retail,
Cracker Barrel , Lebanon, TN, Retail,
CST Brands, San Antonio, TX, Retail,
Darden Restaurants, Orlando, FL, Retail,
Dick's Sporting Goods, Coraopolis, PA, Retail,
Dillard's , Little Rock, AR, Retail,
Dollar General , Goodlettsville, TN, Retail,
Dollar Tree, Chesapeake, VA, Retail,
DSW , Columbus, OH, Retail,
Express , Columbus, OH, Retail,
Family Dollar , Matthews, NC, Retail,
Ferrellgas Partners, Overland Park, KS, Retail,
Fred's Super Dollar/Fred's Inc., Memphis, TN, Retail,
GameStop , Grapevine, TX, Retail,
Gap , San Francisco, CA, Retail,
Gap Inc, San Francisco, CA, Retail,
Global Partners, Waltham, MA, Retail,
GNC Holdings , Pittsburgh, PA, Retail,
Group 1 Automotive, Houston, TX, Retail,
Guess , Los Angeles, CA, Retail,
Harris Teeter, Matthews, NC, Retail,
hhgregg , Indianapolis, IN, Retail,
Home Depot , Atlanta, GA, Retail,
HSN , Saint Petersburg, FL, Retail,
Ingles Markets , Black Mountain, NC, Retail,
J Crew , New York, NY, Retail,
J. C. Penney , Plano, TX, Retail,
Kohl's , Menomonee Falls, WI, Retail,
Kroger , Cincinnati, OH, Retail,
L Brands , Columbus, OH, Retail,
Las Vegas  Corp, Brownsburg, IN, Retail,
Lithia Motors , Medford, OR, Retail,
Lowe's , Mooresville, NC, Retail,
Macy's , Cincinnati, OH, Retail,
Mattel , El Segundo, CA, Retail,
McDonald's , Oak Brook, IL, Retail,
Men's Wearhouse , Houston, TX, Retail,
Michaels , Irving, TX, Retail,
Neiman Marcus, Dallas, TX, Retail,
Nordstrom , Seattle, WA, Retail,
Office Depot , Boca Raton, FL, Retail,
O'Reilly Automotive , Springfield, MO, Retail,
Panera Bread , Saint Louis, MO, Retail,
Party City, Rockaway, NJ, Retail,
Penske Automotive Group , Bloomfield Hills, MI, Retail,
Pep Boys , Philadelphia, PA, Retail,
PetSmart , Phoenix, AZ, Retail,
PriceSmart , San Diego, CA, Retail,
Publix Super Markets , Lakeland, FL, Retail,
PVH , New York, NY, Retail,
Ralph Lauren , New York, NY, Retail,
Regis Corporation, Minneapolis, MN, Retail,
Rent-A-Center , Plano, TX, Retail,
Rite Aid , Camp Hill, PA, Retail,
Ross Stores , Dublin, CA, Retail,
Roundy's Supermarkets , Milwaukee, WI, Retail,
Rush Enterprises, New Braunfels, TX, Retail,
Safeway , Pleasanton, CA, Retail,
Sally Beauty , Denton, TX, Retail,
Sears , Hoffman Estates, IL, Retail,
Sherwin-Williams , Cleveland, OH, Retail,
Sonic Automotive , Charlotte, NC, Retail,
SpartanNash Company, Byron Center, MI, Retail,
Sprout's Farmers Market, Phoenix, AZ, Retail,
Staples , Framingham, MA, Retail,
Starbucks , Seattle, WA, Retail,
Stater Brothers Markets, San Bernardino, CA, Retail,
Supervalu , Eden Prairie, MN, Retail,
Target , Minneapolis, MN, Retail,
The Pantry , Cary, NC, Retail,
Tiffany & Co., New York, NY, Retail,
TJX , Framingham, MA, Retail,
TOPS Markets , Buffalo, NY, Retail,
"TOYS ""R"" US ", Wayne, NJ, Retail,
Tractor Supply Company , Brentwood, TN, Retail,
TravelCenters of America , Westlake, OH, Retail,
Urban Outfitters , Philadelphia, PA, Retail,
VF Corporation, Greensboro, NC, Retail,
Wal-Mart , Bentonville, AR, Retail,
Weis Markets , Sunbury, PA, Retail,
Whole Foods Market , Austin, TX, Retail,
Williams-Sonoma , San Francisco, CA, Retail,
YUM! Brands , Louisville, KY, Retail,
Walgreens , Deerfield, IL, Retail, Healthcare
Ulta Salon , Bolingbrook, IL, Retail ,
CVS Health, Woonsocket, RI, Retail , Pharmaceuticals
ADT , Boca Raton, FL, Security Services,
Brink's , Richmond, VA, Security Services,
MasTec , Miami, FL, Security Services,
CACI International , Arlington, VA, Software & Internet, Data Analytics
Iron Mountain , Boston, MA, Software & Internet, Data Analytics
NetApp , Sunnyvale, CA, Software & Internet, Data Analytics
Symantec Corporation, Mountain View, CA, Software & Internet, Data Analytics
SYNNEX , Fremont, CA, Software & Internet, Data Analytics
Activision Blizzard, Santa Monica, CA, Software & Internet, Gaming
Electronic Arts , Redwood City, CA, Software & Internet, Gaming
Adobe Systems , San Jose, CA, Software & Internet,
Autodesk , San Rafael, CA, Software & Internet,
BMC Software , Houston, TX, Software & Internet,
CA Technologies, New York, NY, Software & Internet,
Cerner , Kansas City, MO, Software & Internet,
Citrix Systems , Fort Lauderdale, FL, Software & Internet,
Computer Sciences , Falls Church, VA, Software & Internet,
Intuit , Mountain View, CA, Software & Internet,
Microsoft , Redmond, WA, Software & Internet,
Oracle , Redwood City, CA, Software & Internet,
Raytheon , Waltham, MA, Software & Internet,
Sabre Holdings , Southlake, TX, Software & Internet,
Salesforce.com, San Francisco, CA, Software & Internet,
Science Applications  International , Mc Lean, VA, Software & Internet,
Public Storage , Glendale, CA, Storage,
Charter Communications , Stamford, CT, Telecommunications, Cable Providers
Comcast , Philadelphia, PA, Telecommunications, Cable Providers
DIRECTV, El Segundo, CA, Telecommunications, Cable Providers
Time Warner Cable, New York, NY, Telecommunications, Cable Providers
Agilent Technologies., Santa Clara, CA, Telecommunications,
American Tower , Boston, MA, Telecommunications,
Anixter International, Glenview, IL, Telecommunications,
ARRIS Group , Suwanee, GA, Telecommunications,
Avaya , Santa Clara, CA, Telecommunications,
CIENA , Hanover, MD, Telecommunications,
Motorola Solutions , Schaumburg, IL, Telecommunications,
West Corporation, Omaha, NE, Telecommunications,
AT&T, Dallas, TX, Telecommunications,
CenturyLink , Monroe, LA, Telecommunications,
Frontier Communications , Stamford, CT, Telecommunications,
Telephone & Data Systems , Chicago, IL, Telecommunications,
Verizon Communications , New York, NY, Telecommunications,
Windstream , Little Rock, AR, Telecommunications,
CommScope , Hickory, NC, Telecommunications, Wireless and Mobile
Crown Castle International , Houston, TX, Telecommunications, Wireless and Mobile
Harris Corporation, Melbourne, FL, Telecommunications, Wireless and Mobile
Leap Wireless International , San Diego, CA, Telecommunications, Wireless and Mobile
NII Holdings , Reston, VA, Telecommunications, Wireless and Mobile
Level 3 Communications , Broomfield, CO, Telecommunications,
Qualcomm , San Diego, CA, Telecommunications,
AMERCO, Reno, NV, Transportation ,
Arkansas Best , Fort Smith, AR, Transportation ,
C.H. Robinson Worldwide , Eden Prairie, MN, Transportation ,
Con-Way , Ann Arbor, MI, Transportation ,
CSX Corporation, Jacksonville, FL, Transportation ,
Expeditors International , Seattle, WA, Transportation ,
FedEx , Memphis, TN, Transportation ,
Hub Group, Oak Brook, IL, Transportation ,
J.B. Hunt , Lowell, AR, Transportation ,
Kansas City Southern, Kansas City, MO, Transportation ,
Kirby , Houston, TX, Transportation ,
Landstar System , Jacksonville, FL, Transportation ,
Magellan Midstream Partners, Tulsa, OK, Transportation ,
Norfolk Southern , Norfolk, VA, Transportation ,
Old Dominion Freight Line , Thomasville, NC, Transportation ,
Rdyer System, Miami, FL, Transportation ,
Ryder System , Miami, FL, Transportation ,
SIRVA , Oakbrook Terrace, IL, Transportation ,
Swift Transportation , Phoenix, AZ, Transportation ,
Union Pacific , Omaha, NE, Transportation ,
United Parcel Service , Atlanta, GA, Transportation ,
Werner Enterprises , Omaha, NE, Transportation ,
YRC WorldWide , Overland Park, KS, Transportation ,
Boyd Gaming , Las Vegas, NV, Travel, Gaming
International Game Technology , Reno, NV, Travel, Gaming
Penn National Gaming , Reading, PA, Travel, Gaming
American Tire Distributors, Huntersville, NC, Wholesale & Distribution,
Applied Industrial Technologies, Cleveland, OH, Wholesale & Distribution,
Atmos Energy , Dallas, TX, Wholesale & Distribution,
Cintas , Mason, OH, Wholesale & Distribution,
Core-Mark International , South San Francisco, CA, Wholesale & Distribution,
Essendant , Deerfield, IL, Wholesale & Distribution,
Fastenal Company, Winona, MN, Wholesale & Distribution,
Fortune Brands Home & Security, Deerfield, IL, Wholesale & Distribution,
Genesco Inc., Nashville, TN, Wholesale & Distribution,
Genuine Parts , Atlanta, GA, Wholesale & Distribution,
Grainger , Lake Forest, IL, Wholesale & Distribution,
Graybar Services , Saint Louis, MO, Wholesale & Distribution,
HD Supply, Atlanta, GA, Wholesale & Distribution,
KAR Auction Service  , Carmel, IN, Wholesale & Distribution,
LKQ , Chicago, IL, Wholesale & Distribution,
MRC Global , Houston, TX, Wholesale & Distribution,
MSC Industrial Direct Co. , Melville, NY, Wholesale & Distribution,
Ryerson Holding , Chicago, IL, Wholesale & Distribution,
Seaboard , Shawnee Msn, KS, Wholesale & Distribution,
SYSCO , Houston, TX, Wholesale & Distribution,
The Jones Group , New York, NY, Wholesale & Distribution,
Unified Grocers , Los Angeles, CA, Wholesale & Distribution,
US Foods, Rosemont, IL, Wholesale & Distribution,
VERSO , Memphis, TN, Wholesale & Distribution,
VWR International , Radnor, PA, Wholesale & Distribution,
Watsco , Coconut Grove, FL, Wholesale & Distribution,
