Company,City,State,Industry,
SunGard, Wayne, PA, Computers & Electronics,
Synopsys , Mountain View, CA, Computers & Electronics,
Systemax , Port Washington, NY, Computers & Electronics,
Tech Data , Clearwater, FL, Computers & Electronics,
Texas Instruments , Dallas, TX, Computers & Electronics,
Trimble Navigation , Sunnyvale, CA, Computers & Electronics,
Unisys , Blue Bell, PA, Computers & Electronics,
Vishay Intertechnology , Malvern, PA, Computers & Electronics,
Waters Corporation, Milford, MA, Computers & Electronics,
Western Digital Corporation, Irvine, CA, Computers & Electronics,
Xerox , Norwalk, CT, Computers & Electronics,
Xilinx , San Jose, CA, Computers & Electronics,
CH2M HILL, Englewood, CO, Construction,
Fluor , Irving, TX, Construction,
Quanta Services, Houston, TX, Construction,
Standard Pacific , Irvine, CA, Construction,
URS Corporation, San Francisco, CA, Construction,
Hershey , Hershey, PA, Consumer Products,
J. M. Smucker , Orrville, OH, Consumer Products,
Sanderson Farms , Laurel, MS, Consumer Products,
Smithfield Foods , Smithfield, VA, Consumer Products,
Titan International , Quincy, IL, Consumer Products,
Treehouse Foods , Oak Brook, IL, Consumer Products,
Tyson Foods , Springdale, AR, Consumer Products,
Valmont Industries , Omaha, NE, Consumer Products,
AGCO Corporation, Duluth, GA, Consumer Products,
Campbell Soup Co., Camden, NJ, Consumer Products,
Chiquita Brands International , Charlotte, NC, Consumer Products,
Clorox, Oakland, CA, Consumer Products,
ConAgra Foods , Omaha, NE, Consumer Products,
Crown Holdings , Philadelphia, PA, Consumer Products,
Dean Foods , Dallas, TX, Consumer Products,
Del Monte Foods., Walnut Creek, CA, Consumer Products,
Estee Lauder , New York, NY, Consumer Products,
Flowers Foods , Thomasville, GA, Consumer Products,
General Mills , Minneapolis, MN, Consumer Products,
Hormel Foods , Austin, MN, Consumer Products,
Ingredion , Westchester, IL, Consumer Products,
Kellogg , Battle Creek, MI, Consumer Products,
Kraft Heinz , Pittsburgh, PA, Consumer Products,
LAND O'LAKES , Saint Paul, MN, Consumer Products,
McCormick & Company , Sparks, MD, Consumer Products,
Mead Johnson , Glenview, IL, Consumer Products,
Michael Foods , Minnetonka, MN, Consumer Products,
Pinnacle Foods Group , Parsippany, NJ, Consumer Products,
Mondelez International , Deerfield, IL, Consumer Products,
United Natural , Providence, RI, Consumer Products,
Colgate-Palmolive, New York, NY, Consumer Products,
Coty, New York, NY, Consumer Products,
Procter & Gamble , Cincinnati, OH, Consumer Products,
Service Corporation International (SCI), Houston, TX, Consumer Services,
ServiceMaster , Memphis, TN, Consumer Services,
Triple-S Salud , Guaynabo, PR, Consumer Services,
Assurant , New York, NY, Data Management,
Teradata , Miamisburg, OH, Data Management,
eBay , San Jose, CA, E-commerce,
Amazon, Seattle, WA, E-commerce ,
Carrington Education , Phoenix, AZ, Education,
DeVry Education , Downers Grove, IL, Education,
Education Management , Pittsburgh, PA, Education,
Graham Holdings, Washington, DC, Education,
Adams Resources & Energy , Houston, TX, Energy & Utilities,
AGL Resources , Atlanta, GA, Energy & Utilities,
Alliant Energy , Madison, WI, Energy & Utilities,
Ameren , Saint Louis, MO, Energy & Utilities,
American Electric Power Company , Columbus, OH, Energy & Utilities,
American Water Works Company , Voorhees, NJ, Energy & Utilities,
Anadarko Petroleum , Spring, TX, Energy & Utilities,
Apache , Houston, TX, Energy & Utilities,
Arch Coal , Saint Louis, MO, Energy & Utilities,
Baker Hughes , Houston, TX, Energy & Utilities,
Buckeye Partners , Houston, TX, Energy & Utilities,
Calpine , Houston, TX, Energy & Utilities,
Calumet Specialty Products , Indianapolis, IN, Energy & Utilities,
Cameron International, Houston, TX, Energy & Utilities,
CenterPoint Energy , Houston, TX, Energy & Utilities,
Chesapeake Energy , Oklahoma City, OK, Energy & Utilities,
Chevron , San Ramon, CA, Energy & Utilities,
Cimarex Energy , Denver, CO, Energy & Utilities,
Clean Harbors , Norwell, MA, Energy & Utilities,
CMS Energy , Jackson, MI, Energy & Utilities,
ConocoPhillips," Houston""", TX, Energy & Utilities,
CONSOL Energy , Canonsburg, PA, Energy & Utilities,
Consolidated Edison , New York, NY, Energy & Utilities,
DCP Midstream Partners , Denver, CO, Energy & Utilities,
Denbury Resources , Plano, TX, Energy & Utilities,
Devon Energy , Oklahoma City, OK, Energy & Utilities,
Dominion Resources, Richmond, VA, Energy & Utilities,
DTE Energy , Detroit, MI, Energy & Utilities,
Duke Energy , Charlotte, NC, Energy & Utilities,
Edison, Rosemead, CA, Energy & Utilities,
Energy Future , Dallas, TX, Energy & Utilities,
Energy Transfer Partners, Dallas, TX, Energy & Utilities,
Enlink Midstream, Dallas, TX, Energy & Utilities,
Entergy Corporation, New Orleans, LA, Energy & Utilities,
Enterprise Products , Houston, TX, Energy & Utilities,
EOG Resources , Houston, TX, Energy & Utilities,
EQT Corporation, Pittsburgh, PA, Energy & Utilities,
EQT Midstream , Pittsburgh, PA, Energy & Utilities,
ERG Energy , Houston, TX, Energy & Utilities,
Exelon , Chicago, IL, Energy & Utilities,
Exxon Mobil , Irving, TX, Energy & Utilities,
First Solar , Tempe, AZ, Energy & Utilities,
FirstEnergy , Akron, OH, Energy & Utilities,
FMC Technologies, Houston, TX, Energy & Utilities,
Genesis Energy , Houston, TX, Energy & Utilities,
Halliburton , Houston, TX, Energy & Utilities,
Hawaiian Electric Industries, Honolulu, HI, Energy & Utilities,
Helmerich & Payne, Tulsa, OK, Energy & Utilities,
Hess , New York, NY, Energy & Utilities,
HollyFrontier , Dallas, TX, Energy & Utilities,
Integrys , Chicago, IL, Energy & Utilities,
Kansas City Power & Light, Kansas City, MO, Energy & Utilities,
Kinder Morgan, Houston, TX, Energy & Utilities,
Lehigh Gas , Allentown, PA, Energy & Utilities,
Linn Energy , Houston, TX, Energy & Utilities,
Marathon Oil , Houston, TX, Energy & Utilities,
Marathon Petroleum , Findlay, OH, Energy & Utilities,
MDU Resources Group, Bismarck, ND, Energy & Utilities,
Murphy Oil , El Dorado, AR, Energy & Utilities,
Murphy USA , El Dorado, AR, Energy & Utilities,
New Jersey Resources , Wall Township, NJ, Energy & Utilities,
Newfield Exploration , The Woodlands, TX, Energy & Utilities,
NextEra Energy , Juno Beach, FL, Energy & Utilities,
NGL Energy Partners, Tulsa, OK, Energy & Utilities,
NiSource , Merrillville, IN, Energy & Utilities,
Noble Energy , Houston, TX, Energy & Utilities,
Northern Tier Energy, Tempe, AZ, Energy & Utilities,
NRG Energy , Princeton, NJ, Energy & Utilities,
Oceaneering International , Houston, TX, Energy & Utilities,
OGE Energy , Oklahoma City, OK, Energy & Utilities,
ONEOK , Tulsa, OK, Energy & Utilities,
Pacific Gas and Electric , San Francisco, CA, Energy & Utilities,
Patterson-UTI Energy , Houston, TX, Energy & Utilities,
PBF Energy Partners , Parsippany, NJ, Energy & Utilities,
Peabody Energy , Saint Louis, MO, Energy & Utilities,
Pepco Holdings , Washington, DC, Energy & Utilities,
Phillips 66, Houston, TX, Energy & Utilities,
Pinnacle West Capital , Phoenix, AZ, Energy & Utilities,
Pioneer Natural Resources , Irving, TX, Energy & Utilities,
Plains All American Pipeline , Houston, TX, Energy & Utilities,
PPL , Allentown, PA, Energy & Utilities,
Public Service Enterprise Group , Newark, NJ, Energy & Utilities,
Puget Sound Energy, Bellevue, WA, Energy & Utilities,
QEP Resources , Denver, CO, Energy & Utilities,
Regency Energy Partners, Dallas, TX, Energy & Utilities,
Republic Services , Phoenix, AZ, Energy & Utilities,
SandRidge Energy , Oklahoma City, OK, Energy & Utilities,
SCANA , Cayce, SC, Energy & Utilities,
